Date,Day,Event,Location,Address,County,City,Region,LAT,LON
8/24/2021,Tuesday,Official swearing in,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
8/24/2021,Tuesday,Ceremonial swearing in,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
8/24/2021,Tuesday,Inaugural address,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
8/26/2021,Thursday,Announcement with Sen. Brian Benjamin ,Adam Clayton Power State Building,"163 W 125th Street, New York, NY",New York,New York,New York City,40.8085876,-73.9471916
8/26/2021,Thursday,NYSE Closing in Honor of Women’s Equality Day,New York Stock Exchange,"18 Broad Street, New York, NY",New York,New York,New York City,40.7068987,-74.01103764
8/28/2021,Saturday,Art on Lark and Washington Park Farmers Market Visit ,Hudson Avenue and Lark Street ,"Lark St & Hudson Ave, Albany, NY 12210",Albany,Albany,Capital Region,42.6538658,-73.7660628
8/28/2021,Saturday,152nd Running of the Travers Stakes and Man O’War Cup Presentation,,"267 Union Avenue, Saratoga Springs, NY",Saratoga,Saratoga Springs,Capital Region,43.0731013,-73.7699106
8/29/2021,Sunday,Workers Memorial Unveiling ,New York State Fair,"581 State Fair Boulevard, Syracuse, NY",Onondaga,Syracuse,Central New York,43.060567,-76.1859626
8/29/2021,Sunday,New York State Fair Tour,New York State Fair,"582 State Fair Boulevard, Syracuse, NY",Onondaga,Syracuse,Central New York,43.0605799,-76.1860072
8/30/2021,Monday,MTA Briefing,,"1 Bowling Green, New York, NY",New York,New York,New York City,40.7040569,-74.0137545
8/30/2021,Monday,Trooper James Monda Funeral ,St. John the Evangelist Church ,"806 Union Street, Schenectady, NY",Schenectady,Schenectady,Capital Region,42.811983,-73.9286273
8/31/2021,Tuesday,COVID-19 Delta Variant Briefing,University of Buffalo Medical School Downton Campus,"955 Main Street, Buffalo, NY",Erie,Buffalo,Western New York,42.8994139,-78.8691548
8/31/2021,Tuesday,Extraordinary Session Announcement ,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
9/2/2021,Thursday,Ida Storm Recovery Update with Mayor Bill de Blasio and Queens Borough President Donovan Richards,,"90-11 183rd Street, Queens, NY",Queens,Queens,New York City,40.7107659,-73.7776177
9/2/2021,Thursday,Update on Storm Recovery Efforts ,Great Neck Train Station  ,"11 Middle Neck Road, Great Neck, NY",Nassau,Great Neck,Long Island,40.7874182,-73.7276635
9/2/2021,Thursday,Recognition of Essential Workers in Recovery Effort ,Fresh Pond Bus Depot,"66-99 Fresh Pond Road, Queens, NY",Queens,Queens,New York City,40.7067967,-73.8953595
9/3/2021,Friday,Yonkers Storm Recovery Efforts Update ,,"709 Warburton Avenue, Yonkers, NY",Westchester,Yonkers,Mid-Hudson,40.960124,-73.893033
9/3/2021,Friday,Mamaroneck Storm Recovery Efforts Update ,Village EOC,"146 Palmer Avenue, Mamaroneck, NY",Westchester,Mamaroneck,Mid-Hudson,40.9502695,-73.7356026
9/3/2021,Friday,Staten Island Storm Recovery Efforts Update,,"St. Johns Avenue and White Street, Staten Island, NY",Richmond,Staten Island,New York City,40.721083,-74.005845
9/3/2021,Friday,Queens Storm Recovery Update Tour,,"36-21 Ditmars Blvd., Queens, NY",Queens,Queens,New York City,40.774032,-73.9074739
9/4/2021,Saturday,National Action Network Rally ,National Action Network House of Justice,"106 West 145th Street, New York, NY",New York,New York,New York City,40.8204921,-73.936579
9/4/2021,Saturday,Queens Storm Recovery Update Tour,,"36-21 Ditmars Blvd., Queens, NY",Queens,Queens,New York City,40.774032,-73.9074739
9/5/2021,Sunday,Storm Recovery Efforts Briefing ,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
9/6/2021,Monday,Workforce Legislation Signing ,,"McKinley Parkway and Dorrance Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.804529,-78.810467
9/6/2021,Monday,Buffalo Labor Day Parade,,"McKinley Parkway and Dorrance Avenue, Buffalo, NY",Erie,Buffalo,Western New York,42.804529,-78.810467
9/7/2021,Tuesday,Storm Recovery Tour with President Biden ,,"East Elmhurst, NY",Queens,Queens,New York City,40.7612123,-73.8651358
9/7/2021,Tuesday,Storm Recovery Tour with Representative Grace Meng,,"140-29 Rose Avenue, Flushing, NY",Queens,Queens,New York City,40.746508,-73.813817
9/8/2021,Wednesday,9/11 Memorial and Museum Tour with Former Mayor Bloomberg,9/11 Memorial and Museum,"180 Greenwich Street, New York, NY",New York,New York,New York City,40.7114527,-74.0126703
9/8/2021,Wednesday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
9/8/2021,Wednesday,NYC Central Labor Council 9/11 20th Anniversary Mass,St Patrick’s Cathedral,"50th St. and 5th Ave, New York, NY",New York,New York,New York City,40.762966,-73.973968
9/8/2021,Wednesday,Prabal Gurung Fashion Show ,,"20 Battery Place, New York, NY",New York,New York,New York City,40.7052288,-74.0183961
9/9/2021,Thursday,Swearing-In of Lieutenant Governor Brian Benjamin,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
9/9/2021,Thursday,Planned Parenthood Day of Action Rally,Brooklyn Borough Hall,"209 Joralemon St, Brooklyn, NY 11201",Kings,Brooklyn,New York City,40.6927731,-73.9903041
9/9/2021,Thursday,NYC Climate Community Reception ,Museum of the City of New York,"1220 5th Ave, New York, NY 10029",New York,New York,New York City,40.7925163,-73.9518091
9/10/2021,Friday,9/11 Security Briefing,NYPD Headquarters ,"1 Police Plaza Path, New York, NY 10038",New York,New York,New York City,40.710223,-74.003368
9/11/2021,Saturday,20th Anniversary of 9/11 Remembrance Ceremony,9/11 Memorial,"180 Greenwich St, New York, NY 10007",New York,New York,New York City,40.7114527,-74.0126703
9/11/2021,Saturday,FDNY Mass Honoring 9/11 Remembrance ,St. Patrick’s Cathedral,"50th St. and 5th Ave, New York, NY",New York,New York,New York City,40.762966,-73.973968
9/11/2021,Saturday,Proposed National Guard Legislation Announcement,Jacob K. Javits Convention Center,"655 West 34th Street, New York, NY",New York,New York,New York City,40.7570972,-74.0044345
9/11/2021,Saturday,September 11th Memorial at the Yankee vs. Mets Game ,Citi Field,"41 Seaver Wy, Flushing, NY 11368",Queens,Queens,New York City,40.719775,-73.906139
9/12/2021,Sunday,Church Services,Abyssinian Baptist Church,"132 W 138th St, New York, NY 10030",New York,New York,New York City,40.8166357,-73.9414779
9/12/2021,Sunday,Buffalo Bills Home Opener ,Highmark Stadium,"1 Bills Dr, Orchard Park, NY 14127",Erie,Orchard Park,Western New York,42.7737131,-78.7869032
9/13/2021,Monday,Women’s Rights Announcement with Senator Gillibrand,Central Park,"Central Park, New York, NY",New York,New York,New York City,40.7827725,-73.9653627
9/14/2021,Tuesday,Godsquad 11th Anniversary Evening Celebration to End Gun Violence,Top Civic Center,"1098 Utica Ave, Brooklyn, NY",Kings,Brooklyn,New York City,40.6459586,-73.929965
9/15/2021,Wednesday,COVID-19 Briefing,State Capitol,"State St. and, Washington Ave, Albany, NY 12224",Albany,Albany,Capital Region,42.691176,-73.824057
9/15/2021,Wednesday,DOCCS Memorial and Medals Event,Albany Training Academy,"1134 New Scotland Road, Albany, NY",Albany,Albany,Capital Region,42.6490141,-73.8389737
9/17/2021,Friday,Less Is More Bill Signing Ceremony,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
9/17/2021,Friday,SEIU 32BJ Celebratory Bill Signing Event,Columbus Circle,"Columbus Circle, New York, NY",New York,New York,New York City,40.7684122,-73.9819793
9/19/2021,Sunday,Syracuse University Commencement,Carrier Dome,"900 Irving Ave, Syracuse, NY 13244",Onondaga,Syracuse,Central New York,43.0373665,-76.1388709
9/20/2021,Monday,Climate Week NYC Opening Ceremony Address,The Times Center,"242 West 41st Street, New York, NY",New York,New York,New York City,40.7560001,-73.9892319
9/20/2021,Monday,Press Availability with Taoiseach Michael Martin of Ireland ,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
9/20/2021,Monday,Official Greet and Welcome of President Biden to New York,John F. Kennedy International Airport ," S Service Rd,
Jamaica, NY 11430",Queens,Queens,New York City,40.655246,-73.797769
9/20/2021,Monday,Hurricane Maria Fourth Anniversary Event,NYS Memorial,"Battery Park, New York, NY",New York,New York,New York City,40.702786,-74.0157731
9/20/2021,Monday,"Reception Honoring Prime Minister Boris Johnson, United Kingdom",The National Arts Cllub,"15 Gramercy Park South, New York, NY",New York,New York,New York City,40.7377541,-73.9866814
9/21/2021,Tuesday,#VaxToSchool Announcement,Life of Hope,"1377 Brooklyn Avenue, Brooklyn, NY",Kings,Brooklyn,New York City,40.6394594,-73.9423147
9/21/2021,Tuesday,Water Improvement Infrastructure Act,Javits Center Green Roof,"429 11th Avenue, New York, NY",New York,New York,New York City,40.7583595,-74.0021206
9/22/2021,Wednesday,Niagara Power Project Modernization Announcement,Robert Moses Power Plant Assembly Bay,"5777 Lewiston Road, Lewiston, NY",Niagara,Lewiston,Western New York,43.1407881,-79.0380129
9/22/2021,Wednesday,Constellation Brands Announcement,,"50 East Broad Street, Rochester, NY",Monroe,Rochester,Finger Lakes,43.1548184,-77.6106056
9/23/2021,Thursday,"One World Observatory Tour with the Duke and Duchess of Sussex, Harry and Meghan Markle",One World Trade Center,"117 West Street, New York, NY",New York,New York,New York City,42.1122322,-75.9673423
9/23/2021,Thursday,COVID-19 Briefing,"Governor's Office, NYC","633 3rd Avenue, New York, NY",New York,New York,New York City,40.7495075,-73.9746391
9/23/2021,Thursday,Education and Resiliency Center Announcement Event,Hempstead Lake Environmental Education and Resiliency Center,"1000 Lake Drive, West Hempstead, NY",Nassau,West Hempstead,Long Island,40.804299,-72.653166
9/24/2021,Friday,Remarks at the Business Council 2021 Annual Meeting,The Sagamore Resort on Lake George,"110 Sagamore Road, Bolton Landing, NY",Warren,Bolton Landing,Capital Region,43.558657,-73.6446385
9/24/2021,Friday,Clean Water and Drinking Water Announcement,Main Street Project near Hayes Street,"Hayes Street, Lake Placid, NY",Essex,Lake Placid,North Country,44.2897522,-73.9856297
9/25/2021,Saturday,Saranac Lake Farmers Market,Riverside Park,"Main and River Streets
Saranac Lake, NY 12983",Essex,Saranac Lake,North Country,44.3296606,-74.1311198
